min_year,max_year,mean_abs_error,median_abs_error,vehicle_count,support_level
2025,2025,3.4466666666666583,3.4466666666666583,1,low_support
2023,2023,3.4033333333333076,3.4033333333333076,1,low_support
2025,2025,3.373333333333335,3.373333333333335,1,low_support
2023,2023,3.353333333333353,3.353333333333353,1,low_support
2021,2025,3.3116666666666816,3.3116666666666816,2,reliable
2026,2026,3.236666666666679,3.236666666666679,1,low_support
2024,2024,3.01666666666668,3.01666666666668,1,low_support
2026,2026,2.9166666666666856,2.9166666666666856,1,low_support
2022,2022,2.903333333333336,2.903333333333336,1,low_support
2026,2026,2.863333333333344,2.863333333333344,1,low_support
2024,2024,2.8333333333333144,2.8333333333333144,1,low_support
2026,2026,2.8233333333333235,2.8233333333333235,1,low_support
2024,2024,2.7066666666666492,2.7066666666666492,1,low_support
2025,2025,2.646666666666647,2.646666666666647,1,low_support
2014,2014,2.623333333333335,2.623333333333335,1,low_support
2020,2020,2.6100000000000136,2.6100000000000136,1,low_support
2015,2015,2.4833333333333485,2.4833333333333485,1,low_support
2025,2025,2.376666666666665,2.376666666666665,1,low_support
2026,2026,2.2433333333333394,2.2433333333333394,1,low_support
2026,2026,2.1866666666666674,2.1866666666666674,1,low_support
2020,2020,2.0600000000000023,2.0600000000000023,1,low_support
2024,2024,2.056666666666672,2.056666666666672,1,low_support
2016,2016,1.9000000000000057,1.9000000000000057,1,low_support
2025,2025,1.8000000000000114,1.8000000000000114,1,low_support
2026,2026,1.740000000000009,1.740000000000009,1,low_support
2016,2016,1.7066666666666634,1.7066666666666634,1,low_support
2024,2024,1.6733333333333462,1.6733333333333462,1,low_support
2026,2026,1.5366666666666902,1.5366666666666902,1,low_support
2025,2025,1.5266666666666424,1.5266666666666424,1,low_support
2024,2024,1.3700000000000045,1.3700000000000045,1,low_support
2024,2024,1.296666666666681,1.296666666666681,1,low_support
2025,2025,1.2900000000000205,1.2900000000000205,1,low_support
2023,2023,1.2566666666666606,1.2566666666666606,1,low_support
2025,2025,1.2300000000000182,1.2300000000000182,1,low_support
2025,2025,1.2200000000000273,1.2200000000000273,1,low_support
2025,2025,1.0400000000000205,1.0400000000000205,1,low_support
2026,2026,1.009999999999991,1.009999999999991,1,low_support
2025,2025,0.9033333333333076,0.9033333333333076,1,low_support
2023,2023,0.8633333333333439,0.8633333333333439,1,low_support
2022,2022,0.7599999999999909,0.7599999999999909,1,low_support
2023,2023,0.5533333333333417,0.5533333333333417,1,low_support
2023,2023,0.5099999999999909,0.5099999999999909,1,low_support
2023,2023,0.5066666666666606,0.5066666666666606,1,low_support
2024,2024,0.4066666666666947,0.4066666666666947,1,low_support
2024,2024,0.3333333333333144,0.3333333333333144,1,low_support
2025,2025,0.19333333333332803,0.19333333333332803,1,low_support
2015,2015,0.09999999999999432,0.09999999999999432,1,low_support
2024,2024,0.013333333333321207,0.013333333333321207,1,low_support
